5S_rRNA	53.18116625
5_8S_rRNA	78.0399
7SK	47.359815341615
A1BG	81.061725
A1BG-AS1	81.14044
A1CF	61.246322988506
A2M	75.954484
A2M-AS1	75.180525
A2ML1	61.116365454545
A2MP1	77.210857142857
A3GALT2	72.62118125
A4GALT	82.90585
A4GNT	72.228188888889
AA06	32.29228
AAAS	82.390353333333
AACS	79.849993670886
AACSP1	46.094625925926
AADAC	50.800766666667
AADACL2	50.84602
AADACL3	76.713771428571
AADACL4	80.883604347826
AADAT	43.269329032258
AAED1	76.255346666667
AAGAB	70.556449090909
AAK1	79.921347593583
AAMDC	80.553398076923
AAMP	82.472742857143
AANAT	82.8707
AAR2	74.860890909091
AARD	51.339542857143
AARS	82.947273684211
AARS2	79.89964375
AASDH	62.22017254902
AASDHPPT	30.534922727273
AASS	45.567363380282
AATF	70.498358715596
AATK	81.593614
AATK-AS1	81.290416666667
AB007962	51.373544
AB059369	62.5439
AB062083	78.802183333333
AB074160	25.763083333333
AB074162	77.2919
AB074166	36.299433333333
AB074188	32.992366666667
AB075492	80.364675
AB209185	49.415
AB209621	83.86455
AB231702	48.608610344828
AB231703	82.6252
AB231705	78.263816666667
AB231710	81.7671
AB231721	42.4036
AB231722	42.8513
AB231723	33.05498
AB231724	70.1652
AB231741	37.076455555556
AB231761	61.147683333333
AB231784	18.107428571429
AB240015	63.53015
AB372727	80.6208
AB429224	83.021983333333
AB488780	81.020833333333
ABAT	80.755079279279
ABCA1	68.269290728477
ABCA10	59.679897959184
ABCA11P	62.16003125
ABCA12	56.47173125
ABCA13	43.017236554622
ABCA17P	80.267671264368
ABCA2	84.201936363636
ABCA3	82.150540909091
ABCA4	77.330923846154
ABCA5	57.249157831325
ABCA6	62.2970171875
ABCA7	83.686559259259
ABCA8	65.661658888889
ABCA9	64.272329885057
ABCB1	64.113972511848
ABCB10	72.952630232558
ABCB11	54.72368
ABCB4	66.61774
ABCB5	20.630469230769
ABCB6	78.822816666667
ABCB8	74.668305
ABCB9	82.079460526316
ABCC1	77.959782051282
ABCC10	82.782716666667
ABCC11	76.215833333333
ABCC12	74.172672307692
ABCC13	35.346572413793
ABCC2	82.745950704225
ABCC3	83.113786206897
ABCC4	58.306186572438
ABCC5	72.414311111111
ABCC5-AS1	72.787083333333
ABCC6	76.836905333333
ABCC6P1	66.913389285714
ABCC6P2	79.701
ABCC8	68.877609411765
ABCC9	25.739661702128
ABCD2	47.344797142857
ABCD3	81.936510891089
ABCD4	75.617742105263
ABCE1	45.013681818182
ABCF1	80.054576190476
ABCF2	73.695113043478
ABCF3	74.933355555556
ABCG1	55.208029213483
ABCG2	74.553414285714
ABCG4	81.702192857143
ABCG5	76.081503703704
ABCG8	75.342892682927
ABHD1	83.6849
ABHD10	59.6147
ABHD11	81.113175
ABHD12	81.263266326531
ABHD12B	77.599726470588
ABHD13	22.578382352941
ABHD14A	82.336328571429
ABHD14B	82.111542857143
ABHD15	78.402814285714
ABHD16A	83.209082142857
ABHD16B	80.1984
ABHD17A	83.48477
ABHD17B	63.178182
ABHD17C	69.1151
ABHD2	75.035337068966
ABHD3	75.914687272727
ABHD4	64.04698
ABHD5	55.888636363636
ABHD6	82.817401724138
ABHD8	83.130958333333
ABI1	60.28018173913
ABI2	74.805246666667
ABI3	77.300014285714
ABI3BP	48.125245714286
ABL1	74.997421142857
ABL2	70.728813333333
ABLIM1	62.038796052632
ABLIM2	69.805131794872
ABLIM3	72.5442825
ABO	79.292557142857
ABP1	67.506088888889
ABR	77.76448079096
ABRA	50.214381818182
ABRACL	54.244766666667
ABT1	57.100275
ABTB1	64.681222222222
ABTB2	76.588911538462
AC2	66.423553061224
ACAA1	76.7498125
ACAA2	63.981125806452
ACACA	74.826666564417
ACACB	74.164251538462
ACAD10	81.5543375
ACAD8	48.080821428571
ACAD9	74.2794
ACADL	47.749331578947
ACADM	63.82116
ACADS	79.595653333333
ACADSB	58.832203921569
ACADVL	81.637771428571
ACAN	62.613302739726
ACAP1	83.70410625
ACAP2	70.086389411765
ACAP3	84.185325
ACAT1	56.325382142857
ACAT2	67.876066666667
ACBD3	78.250397674419
ACBD4	82.31174
ACBD5	59.15474893617
ACBD6	69.641161111111
ACBD7	69.377781111111
ACCS	54.698163157895
ACCSL	55.127869230769
ACD	83.38518
ACE	71.406773913043
ACER1	76.356975
ACER2	76.174482222222
ACER3	74.622937804878
ACHE	78.618014285714
ACIN1	80.000881578947
ACLY	81.839579245283
ACMSD	62.523330769231
ACN9	42.903546969697
ACO1	64.167292537313
ACO2	82.978829508197
ACOT11	71.96609047619
ACOT12	66.835249230769
ACOT13	74.113023076923
ACOT2	82.201728571429
ACOT4	82.35894
ACOT6	82.3981
ACOT7	83.330815267176
ACOT8	81.138223529412
ACOX1	82.958358974359
ACOX2	79.998227272727
ACOX3	63.372488
ACOXL	62.657511369509
ACP1	50.554078571429
ACP2	81.66968
ACP5	81.09225
ACP6	58.235116
ACPL2	74.187023809524
ACPP	56.304344230769
ACPT	56.97576
ACR	74.9489625
ACRBP	82.243372727273
ACRV1	64.86802
ACSBG1	67.444969230769
ACSBG2	77.24870862069
ACSF2	82.873144897959
ACSF3	78.702846031746
ACSL1	76.915408450704
ACSL3	72.579375903614
ACSL5	83.117409433962
ACSL6	65.578870967742
ACSM1	71.385510144928
ACSM2A	67.925635135135
ACSM2B	70.640646341463
ACSM3	69.559244117647
ACSM4	71.017252
ACSM5	66.317125
ACSS1	67.921245283019
ACSS2	81.120296226415
ACSS3	64.429881564246
ACTA1	74.399425
